UniqueID,Section,Semester,TestControl,LAB_Avg_PI,LAB_grade_Avg,ASSIGN_PI_avg,ASSIGN_grade_Avg,QUIZ_PI_Avg,Quiz_Grade_Avg.,Final_PI_Avg,Final_Grade_Avg,final_weigth_PI
59677342,1112W01,SP23,Test,0.625,55.678,0.857,85.714,0.25,74,0.577,71.797,0.196
59829589,1112W01,SP23,Test,0.5,63.544,0.857,100,0.125,75.75,0.494,79.765,0.144
81077878,1112W01,SP23,Test,0.125,81.845,0.429,100,0.125,75.75,0.226,85.865,0.082
29800487,1112W01,SP23,Test,0,92.452,0.143,100,0,74.5,0.048,88.984,0.01
34987512,1112W01,SP23,Test,0.375,74.897,0.429,100,0.75,60.5,0.518,78.466,0.309
13454735,1112W01,SP23,Test,0,85.368,0,100,0,82.75,0,89.373,0
42789834,1112W01,SP23,Test,0.25,66.816,0.571,100,0.375,38.25,0.399,68.355,0.186
84656438,1112W01,SP23,Test,1,0,0.857,14.286,0.75,17.25,0.869,10.512,0.392
52445126,1112W01,SP23,Test,0,91.556,0.857,100,0.625,72.25,0.494,87.935,0.268
87970315,1112W01,SP23,Test,0,87.965,0.429,100,0,81.5,0.143,89.822,0.031
6084446,1112W01,SP23,Test,1,92.138,0.143,85.714,0,76.25,0.381,84.701,0.093
41733918,1112W01,SP23,Test,0,85.402,0.714,100,0.125,69.25,0.28,84.884,0.093
7996457,1112W01,SP23,Test,0.375,92.042,0.143,100,0,68.75,0.173,86.931,0.041
62079183,1112W01,SP23,Test,0.25,67.906,0.429,100,0.125,78.75,0.268,82.219,0.093
47896957,1112W01,SP23,Test,0.125,81.187,0.857,100,0.25,77.75,0.411,86.312,0.155
96241899,1112W01,SP23,Test,0.5,36.073,0.143,94.286,0.25,40.75,0.298,57.036,0.134
38459860,1112W01,SP23,Test,0.125,67.567,0.143,100,0,81.5,0.089,83.022,0.021
65007306,1112W01,SP23,Test,0.625,19.332,0.857,82.857,0.25,60,0.577,54.063,0.196
93556309,1112W01,SP23,Test,0,83.282,0.143,85.714,0.125,63.25,0.089,77.415,0.052
93606922,1112W01,SP23,Test,0.125,88.077,0.571,100,0.25,72.5,0.315,86.859,0.134
42554448,1112W01,SP23,Test,0.125,94.094,0.857,100,0.375,81.5,0.452,91.865,0.196
67797820,1112W01,SP23,Test,0,80.588,0.286,85.714,0,80,0.095,82.101,0.021
33234552,1112W01,SP23,Test,0.125,98.843,0.714,100,0.25,72.75,0.363,90.531,0.144
27817023,1112W01,SP23,Test,0,100,0.286,100,0,83.75,0.095,94.583,0.021
3058350,1112W02,SP23,Control,0,99.359,0,100,0,71.75,0,90.37,0
44475545,1112W02,SP23,Control,0,91.082,0,100,0,74.25,0,88.444,0
74007679,1112W02,SP23,Control,0.375,92.236,0.5,100,0.375,69.25,0.417,87.162,0.192
4917205,1112W02,SP23,Control,0,98.544,0.5,100,0.125,72.25,0.208,90.265,0.077
26997424,1112W02,SP23,Control,0,95.51,0.167,83.333,0,69,0.056,82.614,0.012
53467695,1112W02,SP23,Control,1,97.2,0,100,0,78,0.333,91.733,0.085
49369695,1112W02,SP23,Control,0.25,78.937,1,0,0.125,73,0.458,50.646,0.135
47766146,1112W02,SP23,Control,0.25,80.407,0,100,0.5,51,0.25,77.136,0.186
17530659,1112W02,SP23,Control,0,98.077,0,100,0.125,75,0.042,91.026,0.041
94826690,1112W02,SP23,Control,0.25,90.073,0,100,0,73.5,0.083,87.858,0.021
59963667,1112W02,SP23,Control,0,83.08,0,83.333,0.125,68,0.042,78.138,0.041
75784238,1112W02,SP23,Control,0.25,86.631,0,96.667,0.25,72,0.167,85.099,0.104
25757769,1112W02,SP23,Control,0.125,80.735,0,96.667,0,78.5,0.042,85.3,0.011
89080558,1112W02,SP23,Control,0.375,64.159,0.333,100,0,71.5,0.236,78.553,0.056
92001212,1112W02,SP23,Control,0,92.714,0.167,100,0.25,74.75,0.139,89.155,0.095
31332688,1112W02,SP23,Control,0.125,78.352,0,100,0.875,77.75,0.333,85.367,0.299
52956975,1112W02,SP23,Control,0,95.274,0.667,100,0.125,75.25,0.264,90.175,0.089
21313683,1112W02,SP23,Control,0.375,81.308,0,100,0.5,49,0.292,76.769,0.197
49897728,1112W02,SP23,Control,0,85.937,0.667,100,0.25,67.25,0.306,84.396,0.131
54975036,1112W02,SP23,Control,0.5,89.2,0.167,100,0.25,82.75,0.306,90.65,0.137
53209579,1112W02,SP23,Control,0,79.883,0.5,100,0.5,82.75,0.333,87.544,0.201
42353091,1112W02,SP23,Control,0.75,86.707,0.167,100,1,50.25,0.639,78.986,0.406
83597691,1112W02,SP23,Control,0.25,96.538,0.667,100,0.625,73,0.514,89.846,0.276
71487672,1112W02,SP23,Control,0.125,71.04,0.333,100,0.25,59.25,0.236,76.763,0.117
71961564,1112W02,SP23,Control,0,93.117,0.167,100,0,67.75,0.056,86.956,0.012
